,Ev#,Distance,Stroke,Rank,Name,Yr,School,Prelim,Final,Points
0,4.0,500.0,Freestyle,1.0,"Ipsen, Anton Oe ",SO,Ncsu,4:18.50,4:14.53,32.0
1,4.0,500.0,Freestyle,2.0,"Carroll, Trevor ",JR,LOU,4:19.17,4:15.77,28.0
2,4.0,500.0,Freestyle,3.0,"Campbell, Henry ",SO,UNC,4:19.51,4:17.72,27.0
3,4.0,500.0,Freestyle,4.0,"Linker, Adam    ",JR,Ncsu,4:18.68,4:18.20,26.0
4,4.0,500.0,Freestyle,5.0,"Szuba, Michal   ",SR,VT,4:20.13,4:20.11,25.0
5,4.0,500.0,Freestyle,6.0,"Safra, Yuval    ",SR,GT,4:22.20,4:23.60,24.0
6,4.0,500.0,Freestyle,7.0,"Magnan, Samuel  ",FR,UVA,4:22.00,4:23.86,23.0
7,4.0,500.0,Freestyle,8.0,"Hrabchak, Matth ",FR,UVA,4:22.27,4:24.82,22.0
8,4.0,500.0,Freestyle,9.0,"Harting, Zach   ",FR,LOU,4:22.70,4:19.75,20.0
9,4.0,500.0,Freestyle,10.0,"Lindenbauer, Ma ",JR,LOU,4:22.90,4:22.01,17.0
10,4.0,500.0,Freestyle,11.0,"Hamilton, Alexa ",JR,Ncsu,4:22.68,4:22.49,16.0
11,4.0,500.0,Freestyle,12.0,"Jackson, Trent  ",JR,ND,4:22.89,4:22.52,15.0
12,4.0,500.0,Freestyle,13.0,"Williamson, Col ",FR,GT,4:23.09,4:24.62,14.0
13,4.0,500.0,Freestyle,14.0,"Conway, Matthew ",JR,UNC,4:24.50,4:25.57,13.0
14,4.0,500.0,Freestyle,15.0,"Schultz, Willia ",JR,LOU,4:23.17,4:26.01,12.0
15,4.0,500.0,Freestyle,16.0,"Mannix, Richard ",SO,ND,4:23.11,4:28.71,11.0
16,4.0,500.0,Freestyle,17.0,"Deforest, Willi ",SR,UNC,4:26.02,4:22.91,9.0
17,4.0,500.0,Freestyle,18.0,"Brown, Connor   ",FR,ND,4:26.80,4:24.26,7.0
18,4.0,500.0,Freestyle,19.0,"Tara, Sarik     ",SO,UVA,4:24.92,4:24.73,6.0
19,4.0,500.0,Freestyle,20.0,"Loschi, Moises  ",SO,GT,4:24.72,4:25.52,5.0
20,4.0,500.0,Freestyle,21.0,"Johnson, Matthe ",SO,Duke,4:24.73,4:25.75,4.0
21,4.0,500.0,Freestyle,22.0,"Sett, Aaron     ",FR,PITT,4:25.89,4:26.60,3.0
22,4.0,500.0,Freestyle,23.0,"Golczewski, Dan ",FR,UVA,4:26.48,4:26.64,2.0
23,4.0,500.0,Freestyle,24.0,"Anderson, Thoma ",JR,ND,4:26.05,4:27.01,1.0
24,4.0,500.0,Freestyle,25.0,"Georgiadis, Pet ",SO,UVA,4:26.81,,0.0
25,4.0,500.0,Freestyle,26.0,"Tee, Eugene     ",JR,UNC,4:26.83,,0.0
26,4.0,500.0,Freestyle,27.0,"Pawlowicz, Nath ",FR,VT,4:27.03,,0.0
27,4.0,500.0,Freestyle,28.0,"Cairns, Noah    ",FR,UNC,4:27.34,,0.0
28,4.0,500.0,Freestyle,29.0,"Beals, Joshua   ",JR,UNC,4:28.18,,0.0
29,4.0,500.0,Freestyle,30.0,"Gray, Spencer   ",JR,PITT,4:28.44,,0.0
30,4.0,500.0,Freestyle,31.0,"Kenny, Michael  ",SR,GT,4:28.62,,0.0
31,4.0,500.0,Freestyle,32.0,"Westergren, Mat ",SR,GT,4:29.29,,0.0
32,4.0,500.0,Freestyle,33.0,"Bryant, Calvin  ",SO,FSU,4:29.37,,0.0
33,4.0,500.0,Freestyle,34.0,"Petrone, Joseph ",JR,ND,4:29.74,,0.0
34,4.0,500.0,Freestyle,35.0,"Keaveney, Mark  ",SO,GT,4:31.48,,0.0
35,4.0,500.0,Freestyle,36.0,"Hickman, Riley  ",FR,Duke,4:32.26,,0.0
36,4.0,500.0,Freestyle,36.0,"Richardson, Ant ",JR,BC,4:32.26,,0.0
37,4.0,500.0,Freestyle,38.0,"Mosher, Keating ",FR,BC,4:35.63,,0.0
38,4.0,500.0,Freestyle,39.0,"McCarthy, Andre ",SR,PITT,4:37.55,,0.0
39,4.0,500.0,Freestyle,40.0,"Barry, Brendan  ",FR,PITT,4:38.15,,0.0
40,4.0,500.0,Freestyle,41.0,"Simmer, Scott   ",JR,PITT,4:38.67,,0.0
41,4.0,500.0,Freestyle,42.0,"Vogel, Martin   ",SR,PITT,4:39.02,,0.0
42,4.0,500.0,Freestyle,43.0,"Tovey, Jacob    ",JR,PITT,4:41.21,,0.0
0,5.0,200.0,IM,1.0,"Fiala, Brandon  ",JR,VT,1:42.77,1:42.26,32.0
1,5.0,200.0,IM,2.0,"Dahl, Soeren    ",JR,Ncsu,1:42.93,1:42.50,28.0
2,5.0,200.0,IM,3.0,"Tesone, Nolan   ",SR,LOU,1:43.88,1:43.43,27.0
3,5.0,200.0,IM,4.0,"Colley, Ben     ",SR,UNC,1:44.41,1:44.44,26.0
4,5.0,200.0,IM,5.0,"Ress, Justin    ",FR,Ncsu,1:43.73,1:44.52,25.0
5,5.0,200.0,IM,6.0,"Claverie, Carlo ",SO,LOU,1:44.87,1:44.72,24.0
6,5.0,200.0,IM,7.0,"Owen, Robert    ",JR,VT,1:45.06,1:44.95,23.0
7,5.0,200.0,IM,8.0,"Stuart, Henness ",SO,Ncsu,1:44.42,1:44.99,22.0
8,5.0,200.0,IM,9.0,"McCurdy, Christ ",SR,Ncsu,1:45.42,1:45.07,20.0
9,5.0,200.0,IM,10.0,"Quallen, Joshua ",JR,LOU,1:45.23,1:45.39,17.0
10,5.0,200.0,IM,11.0,"Coombs, Jason   ",JR,FSU,1:45.50,1:45.50,16.0
11,5.0,200.0,IM,12.0,"Zoucha, Jonatha ",SO,LOU,1:45.69,1:45.96,15.0
12,5.0,200.0,IM,13.0,"Correia, Rodrig ",FR,GT,1:46.06,1:46.13,14.0
13,5.0,200.0,IM,14.0,"Bureau, Lucas   ",SR,VT,1:46.20,1:46.58,13.0
14,5.0,200.0,IM,15.0,"Quinn, Austin   ",JR,UVA,1:45.55,1:46.90,12.0
15,5.0,200.0,IM,16.0,"Boland, David   ",JR,LOU,1:45.63,1:48.42,11.0
16,5.0,200.0,IM,17.0,"Tarasevich, Gri ",JR,LOU,1:46.55,1:44.66,9.0
17,5.0,200.0,IM,18.0,"Kalisz, Connor  ",SO,FSU,1:46.64,1:46.41,7.0
18,5.0,200.0,IM,19.0,"Bradley, Kevin  ",JR,ND,1:46.76,1:46.42,6.0
19,5.0,200.0,IM,20.0,"Workman, Sean   ",FR,VT,1:46.54,1:46.46,5.0
20,5.0,200.0,IM,21.0,"Fong, Zachary   ",FR,UVA,1:47.07,1:46.76,4.0
21,5.0,200.0,IM,22.0,"Whitacre, Rob   ",SO,ND,1:47.35,1:47.59,3.0
22,5.0,200.0,IM,23.0,"Cline, Bradley  ",JR,Duke,1:46.67,1:48.09,2.0
23,5.0,200.0,IM,24.0,"Miller, Patrick ",JR,Duke,1:46.43,1:50.92,1.0
24,5.0,200.0,IM,25.0,"Fujan, Reed     ",JR,ND,1:47.46,,0.0
25,5.0,200.0,IM,26.0,"Schwarzenbach,  ",FR,Ncsu,1:47.65,,0.0
26,5.0,200.0,IM,27.0,"Kimpel, Alexand ",SO,GT,1:47.89,,0.0
27,5.0,200.0,IM,28.0,"Hren, Derek     ",JR,Ncsu,1:47.92,,0.0
28,5.0,200.0,IM,29.0,"Szabo, Norbert  ",FR,VT,1:48.03,,0.0
29,5.0,200.0,IM,30.0,"Lierley, Zachar ",JR,PITT,1:48.11,,0.0
30,5.0,200.0,IM,30.0,"Grauslys, Matth ",FR,ND,1:48.11,,0.0
31,5.0,200.0,IM,32.0,"Keblish, Bryce  ",FR,UVA,1:48.30,,0.0
32,5.0,200.0,IM,33.0,"Howard, Judson  ",FR,Duke,1:48.44,,0.0
33,5.0,200.0,IM,34.0,"McBryan, Michae ",SO,UNC,1:48.47,,0.0
34,5.0,200.0,IM,34.0,"Kaeser, Yannick ",SR,UVA,1:48.47,,0.0
35,5.0,200.0,IM,36.0,"Wohlrab, Kurt   ",SR,UNC,1:48.51,,0.0
36,5.0,200.0,IM,37.0,"Shaw, Dalton    ",SO,UNC,1:48.52,,0.0
37,5.0,200.0,IM,38.0,"McKenzie, Shane ",SR,ND,1:48.66,,0.0
38,5.0,200.0,IM,38.0,"Pohlmann, Henri ",SO,UVA,1:48.66,,0.0
39,5.0,200.0,IM,40.0,"Siar, Jacob     ",SR,Ncsu,1:49.11,,0.0
40,5.0,200.0,IM,41.0,"Rice, Mackenzie ",SR,PITT,1:49.24,,0.0
41,5.0,200.0,IM,42.0,"Shek, Steven    ",FR,ND,1:49.42,,0.0
42,5.0,200.0,IM,42.0,"Larson, Gabriel ",JR,PITT,1:49.42,,0.0
43,5.0,200.0,IM,44.0,"Berger, Brennen ",JR,LOU,1:50.10,,0.0
44,5.0,200.0,IM,45.0,"Albracht, Antho ",FR,UVA,1:50.11,,0.0
45,5.0,200.0,IM,46.0,"St George, Maxi ",FR,Duke,1:50.48,,0.0
46,5.0,200.0,IM,47.0,"Urbano, Jacob   ",SO,FSU,1:50.52,,0.0
47,5.0,200.0,IM,48.0,"Cortens, Taylor ",FR,BC,1:50.54,,0.0
48,5.0,200.0,IM,49.0,"Southern, Benja ",JR,GT,1:50.67,,0.0
49,5.0,200.0,IM,50.0,"Harrison, Willi ",FR,UNC,1:50.90,,0.0
50,5.0,200.0,IM,51.0,"Woodbury, Brian ",SO,GT,1:51.13,,0.0
51,5.0,200.0,IM,52.0,"Yildirim, Murat ",FR,UVA,1:51.14,,0.0
52,5.0,200.0,IM,53.0,"McCoy, Kevin    ",SO,BC,1:51.91,,0.0
53,5.0,200.0,IM,54.0,"Doxtater, Kyle  ",SR,FSU,1:52.09,,0.0
54,5.0,200.0,IM,55.0,"Jensen, Andrew  ",SR,ND,1:52.15,,0.0
55,5.0,200.0,IM,56.0,"Rojas, Marc     ",SR,FSU,1:52.99,,0.0
56,5.0,200.0,IM,57.0,"Owen, Todd      ",SO,LOU,1:53.62,,0.0
57,5.0,200.0,IM,58.0,"Cook, Alexander ",SR,PITT,1:53.75,,0.0
58,5.0,200.0,IM,59.0,"Cole, Mckenzie  ",SO,BC,1:53.92,,0.0
59,5.0,200.0,IM,60.0,"Zerweck, Matthe ",SR,BC,1:54.53,,0.0
60,5.0,200.0,IM,61.0,"Williams, Josh  ",JR,BC,1:56.39,,0.0
61,5.0,200.0,IM,62.0,"Holden, Eric    ",SR,UVA,1:57.53,,0.0
0,6.0,50.0,Freestyle,1.0,"Held, Ryan      ",SO,Ncsu,19.02,18.92,32.0
1,6.0,50.0,Freestyle,2.0,"Bilis, Simonas  ",SR,Ncsu,19.00,18.94,28.0
2,6.0,50.0,Freestyle,3.0,"Lewis, Samuel   ",SR,UNC,19.62,19.49,27.0
3,6.0,50.0,Freestyle,4.0,"Schiellerup, An ",JR,Ncsu,19.61,19.52,26.0
4,6.0,50.0,Freestyle,5.0,"Peek, James     ",JR,Duke,19.57,19.54,25.0
5,6.0,50.0,Freestyle,6.0,"Bonk, Joseph    ",JR,Ncsu,19.53,19.57,24.0
6,6.0,50.0,Freestyle,7.0,"Mylin, Chad     ",SO,FSU,19.73,19.70,23.0
7,6.0,50.0,Freestyle,8.0,"Plaschka, Justi ",SO,ND,19.69,19.72,22.0
8,6.0,50.0,Freestyle,9.0,"McCormick, Jaso ",JR,FSU,19.80,19.68,20.0
9,6.0,50.0,Freestyle,10.0,"Speers, Daniel  ",FR,ND,19.82,19.71,17.0
10,6.0,50.0,Freestyle,11.0,"Kelly, Daniel   ",SR,BC,19.89,19.78,16.0
11,6.0,50.0,Freestyle,12.0,"Graesser, Nicol ",SR,UNC,19.90,19.88,15.0
12,6.0,50.0,Freestyle,13.0,"Johnson, Scott  ",JR,Ncsu,19.90,19.95,14.0
13,6.0,50.0,Freestyle,14.0,"Harasz, Noah    ",SO,GT,19.93,20.00,13.0
14,6.0,50.0,Freestyle,15.0,"Hammoud, Yousse ",SR,GT,19.85,20.03,12.0
15,6.0,50.0,Freestyle,16.0,"Lockman, Matthe ",JR,UVA,19.93,20.09,11.0
16,6.0,50.0,Freestyle,17.0,"Apple, Ian      ",SR,FSU,20.05,19.99,9.0
17,6.0,50.0,Freestyle,18.0,"Kaleoaloha, Kan ",FR,FSU,20.22,20.04,7.0
18,6.0,50.0,Freestyle,19.0,"Deana, Jason    ",SR,Ncsu,20.00,20.15,6.0
19,6.0,50.0,Freestyle,20.0,"Armstrong, Davi ",SR,Duke,20.23,20.18,5.0
20,6.0,50.0,Freestyle,21.0,"Magana, Nichola ",SO,UVA,20.13,20.19,4.0
21,6.0,50.0,Freestyle,22.0,"Afrik, Tabahn   ",FR,ND,20.12,20.20,3.0
22,6.0,50.0,Freestyle,23.0,"Ho, Ian         ",FR,VT,20.25,20.28,2.0
23,6.0,50.0,Freestyle,24.0,"Muratovic, Emir ",FR,FSU,20.10,20.46,1.0
