,Distance,Ev#,Final,Name,Points,Prelim,Rank,School,Stroke,Yr
0,500.0,2.0,4:18.31B,"Swanson, Chris",32.0,4:23.07,1.0,Pennsylvania,Freestyle,SO
1,500.0,2.0,4:19.53B,"Hogan, Brian",28.0,4:23.29,2.0,Yale,Freestyle,SO
2,500.0,2.0,4:21.88B,"Khalik, Aly",27.0,4:21.44,3.0,Harvard,Freestyle,FR
3,500.0,2.0,4:22.06B,"Walters, Zachary",26.0,4:24.66,4.0,Harvard,Freestyle,JR
4,500.0,2.0,4:22.56B,"Harder, Rob",25.0,4:24.72,5.0,Yale,Freestyle,JR
5,500.0,2.0,4:25.45,"Smiddy, Samuel",24.0,4:24.99,6.0,Princeton,Freestyle,FR
6,500.0,2.0,4:25.96,"Goertemiller, Cliff",23.0,4:24.18,7.0,Harvard,Freestyle,FR
7,500.0,2.0,4:27.52,"Bondarenko, Nikita",22.0,4:25.16,8.0,Columbia,Freestyle,FR
8,500.0,2.0,4:25.37,"Wachenfeld, Bradley",20.0,4:28.57,9.0,Pennsylvania,Freestyle,SO
9,500.0,2.0,4:26.86,"Gaudiani, Mike",17.0,4:29.14,10.0,Harvard,Freestyle,JR
10,500.0,2.0,4:27.58,"Kekacs, Steven",16.0,4:28.89,11.0,Harvard,Freestyle,SO
11,500.0,2.0,4:28.38,"Rocca, Tyler",15.0,4:27.08,12.0,Harvard,Freestyle,SO
12,500.0,2.0,4:28.58,"Ronda, Eric",14.0,4:26.84,13.0,Harvard,Freestyle,FR
13,500.0,2.0,4:28.68,"Mayfield, Cory",13.0,4:28.20,14.0,Brown,Freestyle,SO
14,500.0,2.0,4:29.83,"Goodman, Spenser",12.0,4:26.27,15.0,Harvard,Freestyle,JR
15,500.0,2.0,4:37.94,"Wilson, Taylor",11.0,4:29.40,16.0,Cornell,Freestyle,SR
16,500.0,2.0,4:26.96,"Ridout, Zachary",9.0,4:30.88,17.0,Princeton,Freestyle,SO
17,500.0,2.0,4:29.81,"Mertz, Kevin",7.0,4:30.18,18.0,Brown,Freestyle,FR
18,500.0,2.0,4:29.99,"Oh, Jun",6.0,4:31.77,19.0,Dartmouth,Freestyle,SO
19,500.0,2.0,4:30.66,"Barr, Brian",5.0,4:30.19,20.0,Brown,Freestyle,JR
20,500.0,2.0,4:30.74,"Noort, Eric",4.0,4:31.75,21.0,Pennsylvania,Freestyle,JR
21,500.0,2.0,4:31.10,"Thomas, Wes",3.0,4:32.54,22.0,Pennsylvania,Freestyle,FR
22,500.0,2.0,4:31.45,"Mango, Alex",2.0,4:31.58,23.0,Columbia,Freestyle,SO
23,500.0,2.0,4:35.15,"Gabel, Dylan",1.0,4:31.22,24.0,Dartmouth,Freestyle,SR
0,200.0,3.0,1:45.45P,"D'Alessandro, Teo",32.0,1:45.57,1.0,Princeton,IM,SO
1,200.0,3.0,1:46.53B,"Bove, Marco",28.0,1:47.04,2.0,Princeton,IM,SO
2,200.0,3.0,1:46.61B,"Sanborn, Byron",27.0,1:46.45,3.0,Princeton,IM,SO
3,200.0,3.0,1:46.62B,"Zupan, Nejc",26.0,1:46.44,4.0,Dartmouth,IM,SR
4,200.0,3.0,1:46.92B,"Worster, Rhoads",25.0,1:46.36,5.0,Pennsylvania,IM,SR
5,200.0,3.0,1:47.23B,"Manchester, Jack",24.0,1:47.39,6.0,Harvard,IM,FR
6,200.0,3.0,1:47.59B,"Wright, En-wei",23.0,1:47.55,7.0,Princeton,IM,SO
7,200.0,3.0,1:48.56B,"Firmansyah, Alwin",22.0,1:47.67,8.0,Yale,IM,JR
8,200.0,3.0,1:47.05B,"Quinn, Kevin",20.0,1:48.09,9.0,Columbia,IM,JR
9,200.0,3.0,1:47.20B,"Sali, Dylan",17.0,1:48.37,10.0,Cornell,IM,FR
10,200.0,3.0,1:47.66B,"Luna, Jacob",16.0,1:47.99,11.0,Harvard,IM,SO
11,200.0,3.0,1:47.82B,"Bole, Sandy",15.0,1:48.22,12.0,Princeton,IM,SO
12,200.0,3.0,1:48.26B,"Yeager, Christian",14.0,1:48.06,13.0,Harvard,IM,SO
13,200.0,3.0,1:48.38B,"Heymann, Andrew",13.0,1:48.76,14.0,Yale,IM,JR
14,200.0,3.0,1:49.07B,"Proctor, Grant",12.0,1:48.51,15.0,Pennsylvania,IM,FR
15,200.0,3.0,1:49.89,"Francis, Bobby",11.0,1:49.43,16.0,Pennsylvania,IM,SO
16,200.0,3.0,1:48.41B,"Bennett, Oliver",9.0,1:49.67,17.0,Princeton,IM,JR
17,200.0,3.0,1:50.02,"Wen, Michael",7.0,1:49.68,18.0,Pennsylvania,IM,FR
18,200.0,3.0,1:50.11,"Saunders, Codi",6.0,1:49.96,19.0,Columbia,IM,SO
19,200.0,3.0,1:50.12,"Athanas, Aaron",5.0,1:49.59,20.0,Dartmouth,IM,SO
20,200.0,3.0,1:50.30,"Lohman, Connor",4.0,1:50.45,21.0,Brown,IM,FR
21,200.0,3.0,1:50.76,"Crystal, Brendan",3.0,1:50.72,22.0,Pennsylvania,IM,SO
22,200.0,3.0,1:51.26,"Hurwitz, Cole",2.0,1:50.63,23.0,Pennsylvania,IM,FR
23,200.0,3.0,1:53.33,"May, Eric",1.0,1:50.75,24.0,Cornell,IM,JR
0,50.0,4.0,19.70B,"Schultz, Eric",32.0,19.94,1.0,Pennsylvania,Freestyle,SO
1,50.0,4.0,19.72B,"Schumacher, Griffin",28.0,19.76,2.0,Harvard,Freestyle,JR
2,50.0,4.0,19.76B,"Satterthwaite, Chris",27.0,19.92,3.0,Harvard,Freestyle,SR
3,50.0,4.0,19.83B,"Lee, Oliver",26.0,19.65,4.0,Harvard,Freestyle,SR
4,50.0,4.0,20.00B,"Wagner, Harrison",25.0,20.02,5.0,Princeton,Freestyle,JR
5,50.0,4.0,20.25,"Crigler, Danny",24.0,20.37,6.0,Harvard,Freestyle,SR
6,50.0,4.0,20.33,"Whitcomb, Daniel",23.0,20.35,7.0,Dartmouth,Freestyle,SO
7,50.0,4.0,20.55,"Wong, Jeremy",22.0,20.43,8.0,Princeton,Freestyle,SO
8,50.0,4.0,20.26,"Greenberg, Aaron",20.0,20.51,9.0,Yale,Freestyle,FR
9,50.0,4.0,20.32,"Ngan, Alex",17.0,20.48,10.0,Columbia,Freestyle,JR
10,50.0,4.0,20.36,"Gaissert, Philipp",16.0,20.44,11.0,Columbia,Freestyle,SR
11,50.0,4.0,20.39,"Glenn, Thomas",15.0,20.50,12.0,Brown,Freestyle,SR
12,50.0,4.0,20.45,"McHugh, Dillon",14.0,20.51,13.0,Pennsylvania,Freestyle,JR
13,50.0,4.0,20.54,"Porter, Alex",13.0,20.48,14.0,Pennsylvania,Freestyle,JR
14,50.0,4.0,20.65,"Wong, Stanley",12.0,20.47,15.0,Columbia,Freestyle,JR
15,50.0,4.0,20.72,"Strausser, Jeffrey",11.0,20.44,16.0,Brown,Freestyle,JR
16,50.0,4.0,20.42,"Maher, Connor",9.0,20.59,17.0,Princeton,Freestyle,JR
17,50.0,4.0,20.55,"Miao, Oscar",7.0,20.53,18.0,Yale,Freestyle,FR
18,50.0,4.0,20.62,"Klotz, Daniel",6.0,20.64,19.0,Brown,Freestyle,FR
19,50.0,4.0,20.66,"Nee, Jack",4.5,20.59,20.0,Brown,Freestyle,FR
20,50.0,4.0,20.66,"Satterthwaite, Tim",4.5,20.71,20.0,Cornell,Freestyle,JR
21,50.0,4.0,20.67,"Adams, Taylor",3.0,20.62,22.0,Cornell,Freestyle,SO
22,50.0,4.0,20.77,"Rea, Ian",1.5,20.72,23.0,Princeton,Freestyle,SR
23,50.0,4.0,20.77,"Mackrel, Julian",1.5,20.66,23.0,Princeton,Freestyle,FR
0,1.0,5.0,369.45,"Mosca, Michael",32.0,357.80,1.0,Harvard,Diving,JR
