,Brown,Columbia,Cornell,Dartmouth,Harvard,Penn,Princeton,Yale
0,46.0,50.0,52.0,48.0,64.0,54.0,56.0,44.0
1,52.5,77.0,64.5,48.0,164.0,124.0,102.0,144.0
2,76.5,100.0,93.5,48.0,236.0,235.0,199.0,150.0
3,93.5,130.0,138.5,62.0,338.0,267.0,307.0,164.0
4,145.5,168.0,170.5,113.0,410.0,288.0,373.0,191.0
5,191.5,218.0,224.5,161.0,466.0,340.0,437.0,235.0
6,241.5,272.0,276.5,209.0,530.0,386.0,493.0,279.0
7,256.5,305.0,309.5,218.0,631.0,488.0,507.0,334.0
8,268.5,366.0,323.5,225.0,681.0,581.5,585.0,380.5
9,294.5,442.0,373.5,251.0,769.0,606.5,653.0,383.5
10,308.5,464.0,391.5,253.0,822.0,658.5,754.5,483.0
11,354.5,510.0,448.5,259.0,864.0,738.5,816.5,506.0
12,388.0,524.0,491.0,295.0,966.0,775.5,901.5,518.0
13,438.0,524.0,537.0,343.0,1018.0,831.5,965.5,572.0
14,457.0,554.0,555.0,349.0,1103.0,906.5,1013.5,653.0
15,489.0,578.0,586.0,376.0,1201.0,943.5,1085.5,694.0
16,489.0,600.5,615.0,379.5,1270.0,1029.5,1223.5,708.0
17,524.0,645.5,669.0,382.5,1320.0,1107.5,1286.5,742.0
18,573.0,682.5,714.0,403.5,1375.0,1129.5,1388.5,773.0
19,626.0,736.5,738.0,447.5,1445.0,1157.5,1456.5,788.0
20,672.0,786.5,790.0,491.5,1499.0,1213.5,1520.5,836.0
