,Ev#,Distance,Stroke,Rank,Name,Yr,School,Prelim,Final,Points
0,2.0,500.0,Freestyle,1.0,"Swanson, Chris  ",SR,Penn,4:20.06,4:16.13,32.0
1,2.0,500.0,Freestyle,2.0,"Hyogo, Kei      ",SO,Yale,4:20.40,4:17.66,28.0
2,2.0,500.0,Freestyle,3.0,"Hogan, Brian R  ",SR,Yale,4:20.34,4:19.94,27.0
3,2.0,500.0,Freestyle,4.0,"Smiddy, Samuel  ",JR,Princeton,4:22.65,4:20.04,26.0
4,2.0,500.0,Freestyle,5.0,"Abdel Khalik, A ",JR,Harvard,4:21.96,4:20.53,25.0
5,2.0,500.0,Freestyle,6.0,"Houck, Logan T  ",FR,Harvard,4:22.06,4:21.52,24.0
6,2.0,500.0,Freestyle,7.0,"Peterson, Alex  ",SO,Penn,4:21.07,4:22.23,23.0
7,2.0,500.0,Freestyle,8.0,"Novak, Brennan  ",FR,Harvard,4:22.02,4:22.38,22.0
8,2.0,500.0,Freestyle,9.0,"Boyd, Jack P    ",SO,Harvard,4:23.82,4:20.88,20.0
9,2.0,500.0,Freestyle,10.0,"Lin, Adrian Y   ",FR,Yale,4:25.41,4:21.90,17.0
10,2.0,500.0,Freestyle,11.0,"Bondarenko, Nik ",JR,Columbia,4:23.09,4:24.88,16.0
11,2.0,500.0,Freestyle,12.0,"Uselis, Taylor  ",SO,Penn,4:24.65,4:25.97,15.0
12,2.0,500.0,Freestyle,13.0,"McQuet, Murphy  ",FR,Princeton,4:28.43,4:26.26,14.0
13,2.0,500.0,Freestyle,14.0,"Bole, Scott M   ",FR,Yale,4:27.09,4:28.95,13.0
14,2.0,500.0,Freestyle,15.0,"Ginsborg, Josh  ",SR,Yale,4:27.97,4:29.10,12.0
15,2.0,500.0,Freestyle,16.0,"Zyla, Michal A  ",SO,Columbia,4:27.98,4:30.36,11.0
16,2.0,500.0,Freestyle,17.0,"Haeffner, Kent  ",SO,Harvard,4:29.22,4:24.85,9.0
17,2.0,500.0,Freestyle,18.0,"Sweezer, Brando ",SO,Cornell,4:29.04,4:27.81,7.0
18,2.0,500.0,Freestyle,19.0,"Ridout, Zachary ",SR,Princeton,4:29.28,4:28.47,6.0
19,2.0,500.0,Freestyle,20.0,"Sharkey, Ryan P ",SO,Cornell,4:30.25,4:28.79,4.5
